StockName,1/28/2011,4/29/2011,5/20/2011,4/1/2011,5/27/2011,6/17/2011,4/15/2011,2/18/2011,3/18/2011,3/11/2011,6/24/2011,2/11/2011,6/10/2011,5/6/2011,6/3/2011,1/14/2011,4/8/2011,4/21/2011,3/4/2011,3/25/2011,2/4/2011,1/7/2011,2/25/2011,5/13/2011,1/21/2011
General Electric,1.35474,1.53923,-1.15869,2.67542,0.621118,0.983069,-0.988142,-0.32543,-3.55711,-0.196078,-2.01745,2.6962,-2.08445,-3.33333,-4.36992,1.12843,-2.60492,0.91047,-2.7685,0.355691,2.13612,-0.3245,-0.287356,-0.400601,4.00421
AT&T,-3.40829,1.46723,0.0,5.51344,0.935484,1.61823,-0.325203,0.598592,-1.34181,1.82469,-0.717547,1.78763,-0.687398,-1.07595,-2.63659,-0.385424,-0.0975927,0.854701,-1.16814,0.278067,2.00584,-2.7965,-0.670904,0.673077,-0.770578
Merck,-2.70668,6.67656,0.0,1.62876,-1.25443,1.02769,2.46437,-0.363967,-1.81538,-0.818182,-2.09691,0.394657,-0.70028,-0.137212,-1.56636,-8.13204,0.989802,-0.467836,2.67081,1.49579,-1.20156,2.92091,-1.70992,2.68624,-0.498973
Pfizer,-0.981997,5.11278,-0.71977,-0.195886,2.14739,0.896414,-0.0973236,1.96599,3.75321,-0.86558,-0.049776,-2.28334,-3.41018,-2.79092,-0.761905,0.658617,-0.437956,-2.60827,3.7467,0.147638,6.10225,3.61582,-0.105932,1.89966,0.0544959
United Technologies,1.45776,2.96552,-1.08524,1.87463,-0.0925819,1.98987,-1.82353,-0.0705302,-0.718355,-2.10767,-0.0355619,2.83645,-0.277342,-0.910807,-4.32184,1.03488,-0.992295,5.44794,-0.86145,2.73063,0.880196,-0.138906,-1.38396,0.112511,1.16044
ExxonMobil,0.177552,1.95851,1.68287,0.97782,3.00424,-1.225,-1.93136,3.04878,-1.00404,-4.33364,-2.37762,-0.754943,-1.42098,-6.14075,-2.52161,3.60708,2.0057,3.91048,-0.919995,2.13754,4.2042,2.53663,0.435448,-2.578,1.52976
Travelers,1.21509,3.19635,-0.431862,1.04925,-0.356333,-2.02977,-0.0835422,3.53501,-0.701214,-0.641242,-1.54594,2.91347,-3.48818,-0.204531,-1.24294,2.84262,-0.417851,3.37154,-0.704698,0.924025,2.86687,-4.92066,-1.65016,-1.42338,0.695716
JPMorgan Chase,-1.48197,2.19485,0.372353,0.542299,0.919811,-1.18673,-4.48936,4.34783,0.704535,0.263043,-2.49383,4.06704,-0.121655,-1.95908,-3.86216,3.79015,1.56114,0.926135,-2.75582,-0.907519,0.405314,1.48837,-1.10169,-3.57542,0.599733
McDonalds,-1.3064,1.50356,2.34958,0.582396,0.110389,2.59853,1.61523,0.0788747,-4.08673,0.458235,-0.58309,2.71145,-0.297767,0.382653,-1.93596,-0.255892,-0.35382,0.0260112,2.03999,2.38095,0.338753,-3.54086,-1.98815,1.61087,0.482251
Coca-Cola,-1.04979,-0.721118,0.293686,3.09816,-1.59787,0.798771,1.13011,1.38213,-2.54896,-0.780772,-0.673092,1.43609,-0.183178,-1.26919,-2.10636,0.685805,0.0743826,0.458783,1.62069,3.31063,0.385109,-4.49302,1.49937,1.97427,-0.696092
3M,-1.98408,3.514,-2.07243,0.768232,1.27858,0.702216,-0.822737,1.35194,-2.44491,-1.04774,-0.579742,4.11705,0.387254,-2.0291,-3.56194,2.80047,0.58265,2.15358,0.31556,2.21558,0.409417,-0.599424,-2.67443,0.745016,1.65073
Johnson & Johnson,-4.07609,3.25216,-1.08417,0.8647,2.42368,-0.0452352,1.71313,0.692042,-1.54648,-2.2917,-1.54358,-0.295664,0.333991,-0.986044,-1.81251,0.417402,-0.0672269,5.98842,1.88553,0.528379,1.13032,-0.0479004,-1.71391,2.31915,0.723356
